;school;sex;age;address;Pstatus;guardian;traveltime;studytime;failures;paid;internet;health;absences;G1;G2;G3;approved
0;GP;F;18;U;A;mother;2;2;0;no;no;3;4;0;11;11;1
1;GP;F;17;U;T;father;1;2;0;no;yes;3;2;9;11;11;1
2;GP;F;15;U;T;mother;1;2;0;no;yes;3;6;12;13;12;1
3;GP;F;15;U;T;mother;1;3;0;no;yes;5;0;14;14;14;1
4;GP;F;16;U;T;father;1;2;0;no;no;5;0;11;13;13;1
5;GP;M;16;U;T;mother;1;2;0;no;yes;5;6;12;12;13;1
6;GP;M;16;U;T;mother;1;2;0;no;yes;3;0;13;12;13;1
7;GP;F;17;U;A;mother;2;2;0;no;no;1;2;10;13;13;1
8;GP;M;15;U;A;mother;1;2;0;no;yes;1;0;15;16;17;1
9;GP;M;15;U;T;mother;1;2;0;no;yes;5;0;12;12;13;1
10;GP;F;15;U;T;mother;1;2;0;no;yes;2;2;14;14;14;1
11;GP;F;15;U;T;father;3;3;0;no;yes;4;0;10;12;13;1
12;GP;M;15;U;T;father;1;1;0;no;yes;5;0;12;13;12;1
13;GP;M;15;U;T;mother;2;2;0;no;yes;3;0;12;12;13;1
14;GP;M;15;U;A;other;1;3;0;no;yes;3;0;14;14;15;1
15;GP;F;16;U;T;mother;1;1;0;no;yes;2;6;17;17;17;1
16;GP;F;16;U;T;mother;1;3;0;no;yes;2;10;13;13;14;1
17;GP;F;16;U;T;mother;3;2;0;no;no;4;2;13;14;14;1
18;GP;M;17;U;T;mother;1;1;3;yes;yes;5;2;8;8;7;0
19;GP;M;16;U;T;father;1;1;0;no;yes;5;6;12;12;12;1
20;GP;M;15;U;T;mother;1;2;0;no;yes;1;0;12;13;14;1
21;GP;M;15;U;T;father;1;1;0;yes;yes;5;0;11;12;12;1
22;GP;M;16;U;T;mother;1;2;0;no;yes;5;0;12;13;14;1
23;GP;M;16;U;T;mother;2;2;0;no;yes;5;2;10;10;10;1
24;GP;F;15;R;T;mother;1;3;0;no;yes;5;2;10;11;10;1
25;GP;F;16;U;T;mother;1;1;0;no;yes;5;6;10;11;12;1
26;GP;M;15;U;T;mother;1;1;0;no;yes;5;8;11;12;12;1
27;GP;M;15;U;T;mother;1;1;0;no;yes;1;0;11;11;11;1
28;GP;M;16;U;A;mother;1;2;0;yes;yes;5;2;12;12;13;1
29;GP;M;16;U;T;mother;1;2;0;yes;yes;5;4;12;11;12;1
30;GP;M;15;U;T;mother;1;2;0;yes;yes;5;0;10;11;11;1
31;GP;M;15;U;T;mother;2;2;0;no;yes;5;2;15;15;15;1
32;GP;M;15;R;T;mother;1;2;0;no;yes;5;0;13;14;15;1
33;GP;M;15;U;T;mother;1;2;0;no;yes;2;0;13;12;12;1
34;GP;M;16;U;T;mother;1;1;0;no;yes;5;4;12;12;12;1
35;GP;F;15;U;T;father;2;1;0;no;no;5;4;11;11;11;1
36;GP;M;15;U;T;mother;1;3;0;no;yes;4;0;14;14;14;1
37;GP;M;16;R;A;mother;2;3;0;no;yes;5;4;13;13;13;1
38;GP;F;15;R;T;mother;1;3;0;no;yes;5;2;11;12;12;1
39;GP;F;15;R;T;mother;1;1;0;no;no;2;8;14;13;12;1
40;GP;F;16;U;T;mother;2;2;0;no;yes;3;16;11;11;10;0
41;GP;M;15;U;T;other;1;1;0;no;yes;5;8;10;11;11;1
42;GP;M;15;U;T;father;1;2;0;no;yes;5;0;14;15;15;1
43;GP;M;15;U;T;father;1;1;0;no;yes;1;0;9;10;10;1
44;GP;F;16;U;T;father;2;2;1;no;yes;5;14;10;11;11;1
45;GP;F;15;U;A;mother;1;2;0;yes;yes;5;4;10;11;11;1
46;GP;F;16;U;A;mother;1;2;0;no;yes;3;6;13;12;13;1
47;GP;M;16;U;T;mother;1;4;0;no;yes;2;2;17;17;17;1
48;GP;M;15;U;T;mother;1;2;0;no;no;5;4;11;12;13;1
49;GP;F;15;U;T;father;1;2;0;no;yes;3;2;13;12;12;1
50;GP;F;16;U;T;mother;3;2;0;no;yes;4;0;14;13;13;1
51;GP;F;15;U;T;mother;1;2;0;no;yes;5;0;16;14;16;1
52;GP;M;15;U;A;father;2;1;0;no;no;5;4;10;9;9;0
53;GP;F;15;U;T;mother;1;1;0;no;yes;5;0;13;12;12;1
54;GP;F;15;U;A;mother;1;1;0;no;yes;1;0;13;12;13;1
55;GP;F;16;U;A;mother;1;2;0;no;yes;2;2;12;13;12;1
56;GP;F;15;U;A;mother;1;2;0;no;yes;1;0;15;14;15;1
57;GP;M;15;U;T;mother;1;2;0;no;no;5;8;15;15;16;1
58;GP;M;15;U;T;father;1;2;0;no;yes;5;0;14;13;14;1
59;GP;F;16;U;T;mother;1;2;0;yes;yes;5;2;16;15;16;1
60;GP;F;16;R;T;mother;1;2;0;no;no;4;0;17;16;16;1
61;GP;F;16;U;T;father;4;1;0;no;yes;5;0;10;10;16;1
62;GP;F;16;U;T;father;1;2;0;no;yes;1;0;13;13;10;1
63;GP;F;16;U;T;mother;1;3;0;no;yes;4;0;14;13;13;1
64;GP;F;15;U;T;father;1;2;0;no;yes;2;0;13;12;12;1
65;GP;F;16;U;T;mother;3;2;0;no;yes;1;2;16;15;16;1
66;GP;M;15;U;A;mother;1;4;0;no;yes;3;0;11;12;12;1
67;GP;F;16;U;T;mother;1;4;0;no;yes;5;0;10;9;10;1
68;GP;F;15;R;T;mother;2;2;0;no;yes;4;0;11;10;11;1
69;GP;F;15;R;T;father;2;4;0;no;yes;3;6;15;15;15;1
70;GP;M;16;U;T;father;2;4;0;no;yes;5;2;13;11;11;1
71;GP;M;15;U;T;mother;1;4;0;no;yes;3;0;11;9;10;1
72;GP;F;15;R;T;mother;1;2;0;no;yes;5;2;13;11;11;1
73;GP;M;16;U;T;mother;1;1;0;no;no;5;0;13;13;14;1
74;GP;F;16;U;T;mother;1;2;0;no;yes;5;4;11;11;11;1
75;GP;M;15;U;T;mother;1;2;0;no;yes;5;0;11;11;11;1
76;GP;M;15;U;T;mother;2;4;0;no;yes;1;0;12;11;11;1
77;GP;F;16;U;T;mother;1;4;0;no;yes;3;1;13;13;13;1
78;GP;M;17;U;T;mother;2;1;3;no;yes;3;0;9;9;10;1
79;GP;F;16;U;T;mother;1;2;0;no;yes;3;14;12;11;11;1
80;GP;M;15;U;T;father;1;1;0;no;yes;3;0;11;11;12;1
81;GP;M;15;U;T;mother;1;3;0;no;yes;5;2;10;9;9;0
82;GP;F;15;U;T;mother;1;2;0;no;yes;5;4;12;11;11;1
83;GP;M;15;U;T;mother;2;2;0;yes;yes;4;2;13;12;13;1
84;GP;F;15;U;T;father;1;2;0;no;yes;4;2;13;12;12;1
85;GP;F;15;U;T;father;2;2;0;no;yes;5;4;12;11;12;1
86;GP;F;16;U;T;mother;1;2;0;no;no;2;6;13;11;11;1
87;GP;F;15;U;T;mother;1;3;0;no;yes;1;4;15;15;15;1
88;GP;M;16;U;T;father;2;2;0;no;yes;3;6;12;10;11;1
89;GP;M;16;U;A;mother;1;2;0;no;no;5;6;9;9;10;1
90;GP;F;16;U;T;mother;1;3;0;no;yes;4;2;9;11;11;1
91;GP;F;15;U;T;mother;1;1;0;no;yes;1;6;14;13;13;1
92;GP;F;16;U;T;father;1;2;0;no;no;2;0;12;13;12;1
93;GP;F;16;U;T;mother;2;2;0;no;yes;1;2;13;14;14;1
94;GP;M;15;U;T;mother;1;4;0;no;yes;4;2;11;12;12;1
95;GP;F;15;R;T;mother;2;4;0;yes;yes;1;4;13;13;13;1
96;GP;M;16;R;T;mother;2;1;0;yes;yes;4;6;9;11;11;1
97;GP;F;16;U;T;mother;1;2;0;no;no;5;0;13;12;12;1
98;GP;F;16;U;T;mother;1;1;0;no;yes;1;4;12;13;13;1
99;GP;F;16;U;T;mother;1;3;0;no;yes;3;2;12;13;13;1
100;GP;M;16;U;T;mother;1;1;0;no;yes;4;12;9;9;8;0
101;GP;M;16;U;T;father;1;3;0;no;yes;4;0;16;16;16;1
102;GP;M;15;U;T;mother;1;1;0;yes;yes;5;2;12;13;12;1
103;GP;F;15;U;T;mother;2;2;0;no;yes;2;16;11;10;10;0
104;GP;M;15;U;A;mother;1;2;0;no;yes;1;0;16;16;16;1
105;GP;F;15;U;A;father;1;4;0;no;no;4;10;10;10;10;1
106;GP;F;15;U;T;mother;1;4;0;no;yes;3;4;10;10;10;1
107;GP;M;16;U;T;father;1;3;0;no;yes;5;4;13;14;14;1
108;GP;M;15;R;T;father;4;4;0;no;yes;1;8;12;10;11;1
109;GP;F;16;U;T;mother;1;3;0;no;yes;4;2;15;15;14;1
110;GP;M;15;U;A;mother;1;1;0;no;yes;4;4;13;14;14;1
111;GP;F;16;R;T;father;1;3;0;no;yes;2;4;11;11;11;1
112;GP;F;16;U;T;mother;1;2;1;no;yes;5;12;8;10;10;1
113;GP;M;15;U;T;mother;1;1;0;no;yes;3;10;18;17;18;1
114;GP;M;15;R;T;mother;1;2;0;no;yes;5;4;10;9;10;1
115;GP;M;16;U;T;father;1;2;0;no;yes;5;6;16;14;14;1
116;GP;M;15;U;T;father;2;2;0;no;no;2;4;16;15;16;1
117;GP;M;16;U;T;father;2;1;0;no;yes;5;6;14;14;15;1
118;GP;M;17;R;T;father;3;2;1;no;yes;5;14;12;11;11;1
119;GP;M;15;U;T;father;1;1;0;no;yes;4;2;14;13;14;1
120;GP;F;15;U;T;mother;1;2;0;no;yes;1;0;14;14;14;1
121;GP;M;15;U;T;father;1;4;0;no;yes;5;6;14;13;13;1
122;GP;F;16;U;T;father;2;2;0;no;yes;5;2;14;12;13;1
123;GP;M;16;U;T;mother;1;1;0;no;yes;5;4;12;13;13;1
124;GP;F;16;U;T;mother;1;2;0;no;yes;5;0;12;11;11;1
125;GP;M;15;U;T;father;1;1;0;no;yes;5;2;9;9;9;0
126;GP;F;15;U;A;mother;1;2;0;no;yes;1;0;10;11;11;1
127;GP;F;19;U;T;other;1;2;2;no;no;5;0;9;10;11;1
128;GP;M;16;R;T;mother;1;1;0;no;yes;4;8;14;14;15;1
129;GP;M;16;U;T;mother;2;3;0;no;yes;1;4;13;12;13;1
130;GP;F;15;R;T;father;2;3;0;no;yes;5;0;10;11;12;1
131;GP;F;18;U;T;mother;1;2;3;no;yes;5;10;10;9;8;0
132;GP;F;17;U;A;mother;3;1;0;no;yes;5;8;11;10;11;1
133;GP;F;15;U;T;mother;3;1;0;no;yes;4;6;11;12;13;1
134;GP;F;17;U;T;father;1;1;0;no;yes;5;2;13;12;12;1
135;GP;F;16;U;A;father;1;1;0;no;yes;5;12;15;13;14;1
136;GP;M;16;U;T;mother;4;1;0;no;no;2;4;9;9;11;1
137;GP;F;16;U;A;mother;1;1;1;no;no;5;12;13;11;11;1
138;GP;M;15;R;T;mother;4;2;0;no;no;5;2;12;11;11;1
139;GP;F;15;U;T;mother;1;3;0;no;yes;5;4;13;14;15;1
140;GP;M;17;R;T;mother;3;2;0;no;no;5;2;10;9;10;1
141;GP;F;16;R;T;mother;4;2;0;no;no;3;0;14;13;13;1
142;GP;M;18;U;T;mother;2;1;0;no;yes;4;2;11;11;12;1
143;GP;F;18;U;A;other;1;3;0;no;yes;5;10;12;11;11;1
144;GP;F;16;R;T;mother;2;1;0;no;no;1;8;12;11;11;1
145;GP;F;16;U;A;other;2;1;0;no;yes;5;4;9;9;10;1
146;GP;M;16;U;T;mother;1;2;2;no;no;5;0;10;10;10;1
147;GP;F;15;U;T;mother;2;1;0;no;yes;5;6;13;14;14;1
148;GP;F;15;R;T;mother;3;1;1;no;yes;1;2;8;9;9;0
149;GP;M;15;U;T;father;2;4;0;no;yes;3;6;9;11;11;1
150;GP;F;15;U;A;mother;1;2;0;no;no;1;24;9;8;9;0
151;GP;M;16;U;T;mother;1;3;0;no;yes;5;0;15;13;13;1
152;GP;M;16;U;T;father;2;1;0;no;yes;2;4;12;11;11;1
153;GP;F;15;U;T;mother;1;3;0;no;yes;5;2;13;13;13;1
154;GP;F;16;U;T;mother;1;1;0;no;yes;1;4;10;11;11;1
155;GP;M;17;U;T;mother;1;1;0;no;yes;5;22;9;7;6;0
156;GP;F;15;U;T;father;1;2;0;no;yes;5;0;12;12;12;1
157;GP;F;15;U;A;mother;2;1;0;no;yes;5;0;11;10;10;1
158;GP;F;15;U;T;father;1;2;1;no;yes;3;2;11;11;11;1
159;GP;F;15;U;T;mother;1;2;0;no;yes;5;6;13;12;13;1
160;GP;F;15;U;T;father;1;2;0;no;no;1;6;11;11;11;1
161;GP;M;16;U;T;mother;1;1;0;no;yes;5;16;9;9;8;0
162;GP;M;15;U;A;mother;4;1;0;no;yes;5;0;12;11;11;1
163;GP;M;18;U;T;mother;1;1;2;no;yes;4;0;11;9;0;0
164;GP;M;16;U;T;mother;1;1;1;no;no;5;6;9;10;10;1
165;GP;F;15;R;T;other;2;3;0;yes;yes;3;2;13;13;13;1
166;GP;M;19;U;T;mother;1;1;0;no;yes;4;6;11;9;11;1
167;GP;F;17;U;T;mother;1;1;0;no;no;4;0;13;13;13;1
168;GP;M;15;R;T;mother;1;2;0;yes;no;1;0;7;8;8;0
169;GP;M;17;R;T;mother;1;1;3;no;no;5;14;9;8;10;1
170;GP;F;18;R;T;mother;3;1;3;no;no;4;6;11;10;11;1
171;GP;M;16;R;T;mother;3;1;0;no;no;3;4;12;10;11;1
172;GP;M;16;U;T;father;1;2;1;no;yes;5;0;10;10;1;0
173;GP;M;16;U;T;mother;2;1;2;no;yes;5;0;9;8;10;1
174;GP;M;17;R;T;mother;2;1;1;yes;yes;5;8;8;8;9;0
175;GP;M;17;R;T;mother;2;2;2;no;yes;3;4;7;6;8;0
176;GP;M;15;U;T;mother;2;1;0;no;no;5;2;8;9;10;1
177;GP;M;16;U;T;father;1;1;1;no;yes;2;2;9;8;8;0
178;GP;M;17;R;T;mother;4;2;0;no;no;5;0;8;8;8;0
179;GP;M;17;U;T;mother;2;1;3;no;no;2;10;8;7;8;0
180;GP;M;16;U;T;father;1;2;0;no;yes;4;0;9;10;11;1
181;GP;F;16;U;T;father;1;2;0;no;yes;3;0;17;17;18;1
182;GP;F;16;U;T;mother;1;2;0;no;yes;4;0;12;12;13;1
183;GP;F;16;U;T;mother;1;2;0;no;yes;3;0;16;16;17;1
184;GP;M;16;U;T;father;3;1;1;no;yes;2;4;9;9;10;1
185;GP;M;16;U;T;mother;2;2;0;no;yes;3;0;16;17;18;1
186;GP;M;17;U;T;mother;1;2;0;no;yes;5;0;11;9;10;1
187;GP;F;16;U;T;mother;1;2;0;no;yes;3;0;14;13;13;1
188;GP;F;16;U;T;mother;2;2;0;no;yes;4;0;14;14;15;1
189;GP;M;17;U;T;mother;2;2;0;no;yes;4;0;10;11;11;1
190;GP;F;16;U;T;mother;2;2;0;no;yes;5;0;13;12;14;1
191;GP;M;17;U;T;father;1;2;0;no;yes;4;4;11;9;10;1
192;GP;M;16;R;T;mother;1;1;0;no;yes;3;8;10;9;11;1
193;GP;M;17;U;T;mother;1;2;0;yes;yes;2;4;11;11;13;1
194;GP;M;16;U;T;mother;1;2;0;yes;yes;3;4;11;10;11;1
195;GP;M;16;U;T;mother;1;2;0;no;yes;3;0;11;12;13;1
196;GP;F;17;U;T;father;1;2;0;no;no;5;0;17;18;17;1
197;GP;F;17;U;T;mother;1;2;0;no;yes;1;32;14;13;14;0
198;GP;F;16;U;T;mother;1;2;0;no;yes;1;8;14;15;16;1
199;GP;M;17;U;T;mother;1;2;0;no;yes;4;6;11;13;14;1
200;GP;M;16;U;T;mother;1;1;0;no;yes;3;0;10;9;11;1
201;GP;M;16;U;T;mother;1;2;0;no;yes;5;0;13;14;16;1
202;GP;F;17;U;A;mother;1;2;0;no;yes;3;10;12;13;14;1
203;GP;M;17;R;T;mother;1;2;0;no;no;3;6;9;9;10;1
204;GP;F;16;U;T;mother;1;2;0;no;yes;2;6;12;12;13;1
205;GP;F;17;U;T;mother;1;2;0;no;yes;3;0;12;11;12;1
206;GP;M;17;U;T;other;2;2;0;no;yes;5;16;10;11;12;0
207;GP;M;16;R;T;mother;1;1;0;no;yes;5;0;11;10;10;1
208;GP;M;16;U;T;father;2;1;0;no;yes;3;0;13;12;12;1
209;GP;F;17;U;T;father;1;2;0;no;yes;5;8;14;15;16;1
210;GP;M;17;U;T;mother;1;1;0;no;yes;5;4;13;13;14;1
211;GP;M;16;R;T;father;3;1;0;no;yes;3;16;10;11;12;0
212;GP;F;17;U;T;mother;2;1;1;no;yes;2;30;14;15;16;0
213;GP;F;16;U;T;mother;1;2;0;no;yes;3;0;11;10;11;1
214;GP;F;16;U;T;mother;1;2;0;no;yes;2;2;14;14;15;1
215;GP;F;16;U;T;mother;1;2;0;no;no;4;4;11;12;12;1
216;GP;F;17;U;T;mother;1;2;0;no;no;1;0;14;15;15;1
217;GP;F;17;R;T;mother;1;1;0;no;yes;3;21;13;13;13;0
218;GP;F;16;R;T;mother;2;4;0;no;yes;5;6;13;13;13;1
219;GP;F;17;U;T;mother;1;3;1;yes;yes;5;14;8;9;8;0
220;GP;F;16;U;A;mother;1;2;0;no;yes;4;2;11;11;12;1
221;GP;F;16;U;T;mother;1;2;0;no;yes;1;4;14;15;15;1
222;GP;F;16;U;T;mother;2;1;0;no;no;5;2;12;13;13;1
223;GP;F;17;R;T;mother;2;3;0;no;yes;4;0;11;12;12;1
224;GP;F;19;U;T;other;1;4;0;no;yes;3;4;12;12;12;1
225;GP;M;17;U;T;mother;1;2;0;no;yes;3;15;13;12;12;0
226;GP;F;16;U;A;mother;1;2;0;no;yes;4;0;13;13;13;1
227;GP;M;18;U;T;mother;1;2;0;no;yes;5;10;12;11;11;1
228;GP;F;17;R;T;mother;1;1;0;no;no;3;6;12;11;11;1
229;GP;F;17;U;T;mother;2;2;0;no;yes;1;2;14;16;15;1
230;GP;F;17;U;T;mother;1;2;0;no;yes;1;16;11;9;10;0
231;GP;M;18;U;T;father;1;2;0;no;yes;4;10;10;10;10;1
232;GP;F;17;U;T;father;2;1;0;no;no;3;4;12;13;13;1
233;GP;F;17;U;T;mother;1;3;0;no;yes;4;0;12;12;13;1
234;GP;F;17;R;T;mother;2;2;0;no;yes;5;0;11;10;11;1
235;GP;F;17;U;T;mother;1;3;0;no;no;5;12;12;12;12;1
236;GP;F;16;U;T;mother;1;2;0;no;yes;3;0;13;13;14;1
237;GP;M;18;U;T;mother;2;2;3;yes;yes;4;9;10;9;10;1
238;GP;F;16;U;T;mother;1;3;0;no;yes;5;4;15;16;16;1
239;GP;F;18;R;T;mother;1;2;0;no;yes;4;4;8;8;8;0
240;GP;F;17;U;T;mother;1;2;0;no;yes;3;2;17;18;17;1
241;GP;M;17;U;T;father;1;2;0;no;yes;3;0;10;11;11;1
242;GP;M;18;U;T;mother;4;2;0;no;yes;3;2;9;10;11;1
243;GP;F;17;U;A;mother;2;3;0;no;yes;3;0;15;15;16;1
244;GP;F;17;U;T;father;1;2;0;no;yes;3;0;14;12;12;1
245;GP;M;17;R;T;father;2;2;0;no;yes;1;0;12;13;13;1
246;GP;M;17;U;T;mother;1;2;0;no;yes;2;0;13;13;13;1
247;GP;M;16;U;T;father;1;2;0;no;yes;1;0;13;13;14;1
248;GP;M;16;U;T;mother;2;2;0;no;yes;5;2;9;9;9;0
249;GP;M;16;U;T;mother;2;3;0;no;yes;2;0;12;12;12;1
250;GP;M;17;U;T;father;1;2;0;no;yes;4;0;16;16;16;1
251;GP;F;16;U;T;mother;1;1;0;no;yes;5;4;9;10;10;1
252;GP;F;16;U;A;mother;1;2;0;no;yes;5;0;14;13;13;1
253;GP;F;18;U;A;mother;2;2;1;no;yes;3;18;10;10;10;0
254;GP;F;18;U;T;mother;1;2;1;no;yes;5;16;9;8;10;0
255;GP;F;18;U;T;mother;2;1;1;no;yes;3;14;8;7;7;0
256;GP;M;18;U;T;other;1;1;1;no;yes;1;26;7;8;8;0
257;GP;M;17;U;T;mother;1;1;0;no;yes;5;6;10;8;9;0
258;GP;F;17;U;T;father;1;2;0;no;no;3;4;14;14;15;1
259;GP;F;17;U;T;mother;1;3;0;no;yes;4;10;11;10;10;1
260;GP;F;16;U;T;mother;1;1;0;no;yes;5;4;12;11;11;1
261;GP;F;17;R;T;mother;3;2;0;no;no;3;2;13;13;13;1
262;GP;F;17;R;A;other;4;1;1;no;yes;5;14;9;9;8;0
263;GP;M;18;U;T;father;1;2;0;no;yes;2;16;8;7;8;0
264;GP;F;17;U;A;mother;1;1;1;no;yes;1;8;11;9;10;1
265;GP;F;17;R;T;mother;2;3;0;no;yes;5;4;15;14;15;1
266;GP;F;17;U;A;mother;1;2;0;no;no;4;4;15;14;14;1
267;GP;M;17;U;T;mother;2;2;0;no;yes;5;8;15;15;15;1
268;GP;M;17;R;A;mother;2;2;0;no;yes;4;0;12;12;12;1
269;GP;M;16;U;T;mother;1;1;0;no;yes;3;7;14;14;15;1
270;GP;M;16;U;T;mother;1;1;0;yes;yes;5;4;14;15;15;1
271;GP;F;17;U;T;mother;1;2;0;yes;yes;5;2;11;11;12;1
272;GP;M;17;R;T;father;2;3;0;no;yes;1;2;13;14;15;1
273;GP;F;17;U;T;mother;2;3;0;no;yes;5;10;11;11;11;1
274;GP;F;17;U;T;mother;1;2;0;no;no;4;10;10;9;10;1
275;GP;F;18;U;T;other;2;3;0;no;yes;3;10;12;10;11;1
276;GP;M;16;U;T;mother;3;1;0;no;yes;4;7;15;16;16;1
277;GP;F;17;U;T;father;1;2;0;no;no;5;4;11;10;11;1
278;GP;M;17;U;T;father;2;1;0;no;yes;2;2;9;12;13;1
279;GP;M;22;U;T;mother;1;1;3;no;yes;1;12;7;8;5;0
280;GP;M;18;R;T;mother;1;2;0;no;yes;5;8;10;9;10;1
281;GP;M;16;U;T;mother;1;1;0;no;yes;5;0;11;12;11;1
282;GP;M;18;U;T;mother;2;1;0;no;yes;5;8;7;8;7;0
283;GP;M;16;U;T;other;3;2;1;no;yes;2;4;9;11;10;1
284;GP;M;18;U;T;mother;1;1;2;no;yes;5;4;7;8;6;0
285;GP;M;16;R;T;mother;2;1;0;no;no;3;2;14;13;12;1
286;GP;M;17;R;T;mother;1;1;0;no;yes;5;0;12;12;13;1
287;GP;M;17;U;T;mother;2;1;1;no;yes;5;0;9;10;10;1
288;GP;F;18;U;A;mother;1;2;0;no;yes;5;2;12;12;13;1
289;GP;F;17;U;T;mother;1;4;0;no;yes;4;2;14;15;17;1
290;GP;F;19;U;T;mother;1;2;0;no;yes;5;0;10;10;11;1
291;GP;M;18;U;T;mother;3;2;1;no;yes;5;4;11;10;11;1
292;GP;F;17;R;T;mother;1;3;0;no;yes;5;2;11;12;14;1
293;GP;F;18;U;T;mother;1;3;0;no;no;3;4;11;12;14;1
294;GP;F;18;R;T;mother;1;2;0;no;no;5;4;11;11;13;1
295;GP;M;19;U;A;mother;1;2;0;no;yes;1;4;11;13;14;1
296;GP;M;18;U;T;mother;1;2;0;no;yes;4;2;16;16;16;1
297;GP;M;17;R;T;mother;2;1;0;no;no;4;0;9;10;10;1
298;GP;F;17;U;T;father;1;4;0;no;yes;2;2;10;11;12;1
299;GP;F;20;R;T;other;2;2;0;yes;yes;2;8;10;12;12;1
300;GP;F;18;U;T;father;1;2;0;no;yes;2;2;15;15;15;1
301;GP;M;18;U;T;mother;1;2;0;no;yes;3;2;10;10;11;1
302;GP;M;18;R;T;mother;1;3;0;no;no;3;2;10;11;12;1
303;GP;F;17;U;T;mother;1;3;0;no;no;4;2;15;12;13;1
304;GP;F;18;U;T;mother;1;3;0;no;yes;3;0;11;12;13;1
305;GP;M;17;U;T;father;2;1;0;no;yes;4;8;8;8;9;0
306;GP;M;18;R;A;mother;2;2;0;no;yes;1;6;15;16;16;1
307;GP;M;17;U;T;mother;1;2;0;no;yes;5;0;11;11;14;1
308;GP;F;18;R;T;mother;2;2;0;no;yes;4;8;10;11;12;1
309;GP;M;18;U;T;father;1;2;0;no;yes;5;4;10;12;14;1
310;GP;F;18;R;T;mother;2;2;0;no;yes;3;12;8;9;10;1
311;GP;F;19;U;T;other;1;2;0;no;yes;5;16;11;12;12;0
312;GP;F;18;U;T;father;1;4;0;no;yes;2;10;16;16;16;1
313;GP;F;18;U;T;mother;2;2;0;no;no;3;2;13;13;13;1
314;GP;M;17;R;T;mother;1;2;0;no;no;1;2;16;17;18;1
315;GP;F;18;U;T;mother;1;2;0;no;yes;1;8;14;14;15;1
316;GP;F;17;U;T;mother;2;2;0;no;yes;1;6;15;16;16;1
317;GP;F;17;U;T;mother;2;2;0;no;yes;5;6;12;12;12;1
318;GP;F;18;R;A;mother;2;2;0;no;yes;5;15;12;9;10;0
319;GP;M;18;U;T;mother;2;1;0;no;yes;3;6;11;12;12;1
320;GP;F;18;U;T;father;1;2;1;no;yes;4;2;14;12;13;1
321;GP;F;17;U;T;father;3;3;0;no;yes;1;8;13;15;15;1
